d[,då
opsl[r,opslår
opst[r,opstår
ovenp[,ovenpå
overg[,overgå
overs[,overså
pr[sen,pråsen
purh[r,purhår
p[anke,påanke
p[budt,påbudt
p[byde,påbyde
p[drog,pådrog
p[dømt,pådømt
p[fugl,påfugl
p[fund,påfund
p[føre,påføre
p[ført,påført
p[greb,pågreb
p[g[et,pågået
p[g[et,pågået
p[hæng,påhæng
p[høre,påhøre
p[hørt,påhørt
p[krav,påkrav
p[kære,påkære
p[køre,påkøre
p[kørt,påkørt
p[lagt,pålagt
p[løbe,påløbe
p[nøde,pånøde
p[nødt,pånødt
p[pege,påpege
p[sken,påsken
p[skud,påskud
p[stod,påstod
p[st[r,påstår
p[st[r,påstår
p[syde,påsyde
p[syet,påsyet
p[tage,påtage
p[tale,påtale
p[talt,påtalt
p[traf,påtraf
p[tryk,påtryk
p[vise,påvise
p[vist,påvist
rads[r,radsår
ratl[s,ratlås
ritr[d,ritråd
rob[de,robåde
rumm[l,rummål
rødk[l,rødkål
r[bene,råbene
r[bere,råbere
r[b[nd,råbånd
r[b[nd,råbånd
r[dden,rådden
r[ddet,råddet
r[dede,rådede
r[dene,rådene
r[dgav,rådgav
r[dhus,rådhus
r[dige,rådige
r[digt,rådigt
r[dløs,rådløs
r[dner,rådner
r[dnet,rådnet
r[dsl[,rådslå
r[dsl[,rådslå
r[emne,råemne
r[erne,råerne
r[film,råfilm
r[glas,råglas
r[huse,råhuse
r[hvid,råhvid
r[jern,råjern
r[jord,råjord
r[kalv,råkalv
r[kold,råkold
r[kost,råkost
r[krem,råkrem
r[mælk,råmælk
r[olie,råolie
r[saft,råsaft
r[sejl,råsejl
r[stof,råstof
r[vare,råvare
samr[d,samråd
skos[l,skosål
skr[en,skråen
skr[er,skråer
skr[et,skrået
skr[le,skråle
skr[ne,skråne
skud[r,skudår
sk[len,skålen
sk[ler,skåler
sk[let,skålet
sk[ner,skåner
sk[net,skånet
sk[nsk,skånsk
sk[ret,skåret
sl[ere,slåere
sm[dyr,smådyr
sm[fed,småfed
sm[kød,småkød
sm[ler,småler
sm[lig,smålig
sm[ord,småord
sm[øen,småøen
sm[øer,småøer
sp[dom,spådom
sp[ede,spåede
sp[nen,spånen
sp[ner,spåner
stort[,stortå
str[et,strået
str[le,stråle
st[fod,ståfod
st[hej,ståhej
st[let,stålet
st[pik,ståpik
surk[l,surkål
sus[en,susåen
syn[le,synåle
sytr[d,sytråd
syv[rs,syvårs
sætm[l,sætmål
søg[rd,søgård
s[dant,sådant
s[korn,såkorn
s[mænd,såmænd
s[ning,såning
s[rbar,sårbar
s[rede,sårede
s[rene,sårene
tamg[s,tamgås
ted[se,tedåse
tilg[r,tilgår
tilr[b,tilråb
tilst[,tilstå
tils[r,tilsår
ti[ret,tiåret
ti[rig,tiårig
topm[l,topmål
to[rig,toårig
tre[rs,treårs
tr[den,tråden
tr[der,tråder
tr[det,trådet
tr[dte,trådte
t[gede,tågede
t[lmod,tålmod
t[lsom,tålsom
t[løse,tåløse
t[løst,tåløst
t[negl,tånegl
t[næse,tånæse
t[rnby,tårnby
t[rner,tårner
t[rnet,tårnet
t[rnur,tårnur
ub[den,ubåden
udenp[,udenpå
udest[,udestå
udfl[d,udflåd
udg[et,udgået
udg[rd,udgård
udk[re,udkåre
udl[ne,udlåne
udl[nt,udlånt
udm[le,udmåle
udm[lt,udmålt
udr[be,udråbe
